Ruta,Main_Label,Segments,Modelo_1056_ExtraLarge - prediction,Modelo_1056_ExtraLarge - segment,Modelo_1056_ExtraLarge - conf,Modelo_1056_ExtraLarge - time [ms],Modelo_1056_Large - prediction,Modelo_1056_Large - segment,Modelo_1056_Large - conf,Modelo_1056_Large - time [ms],Modelo_1056_Medium - prediction,Modelo_1056_Medium - segment,Modelo_1056_Medium - conf,Modelo_1056_Medium - time [ms],Modelo_1056_Nano - prediction,Modelo_1056_Nano - segment,Modelo_1056_Nano - conf,Modelo_1056_Nano - time [ms],Modelo_1056_Small - prediction,Modelo_1056_Small - segment,Modelo_1056_Small - conf,Modelo_1056_Small - time [ms],Modelo_416_ExtraLarge - prediction,Modelo_416_ExtraLarge - segment,Modelo_416_ExtraLarge - conf,Modelo_416_ExtraLarge - time [ms],Modelo_416_Large - prediction,Modelo_416_Large - segment,Modelo_416_Large - conf,Modelo_416_Large - time [ms],Modelo_416_Medium - prediction,Modelo_416_Medium - segment,Modelo_416_Medium - conf,Modelo_416_Medium - time [ms],Modelo_416_Nano - prediction,Modelo_416_Nano - segment,Modelo_416_Nano - conf,Modelo_416_Nano - time [ms],Modelo_416_Small - prediction,Modelo_416_Small - segment,Modelo_416_Small - conf,Modelo_416_Small - time [ms],Modelo_640_ExtraLarge - prediction,Modelo_640_ExtraLarge - segment,Modelo_640_ExtraLarge - conf,Modelo_640_ExtraLarge - time [ms],Modelo_640_Large - prediction,Modelo_640_Large - segment,Modelo_640_Large - conf,Modelo_640_Large - time [ms],Modelo_640_Medium - prediction,Modelo_640_Medium - segment,Modelo_640_Medium - conf,Modelo_640_Medium - time [ms],Modelo_640_Nano - prediction,Modelo_640_Nano - segment,Modelo_640_Nano - conf,Modelo_640_Nano - time [ms],Modelo_640_Small - prediction,Modelo_640_Small - segment,Modelo_640_Small - conf,Modelo_640_Small - time [ms],Modelo_832_ExtraLarge - prediction,Modelo_832_ExtraLarge - segment,Modelo_832_ExtraLarge - conf,Modelo_832_ExtraLarge - time [ms],Modelo_832_Large - prediction,Modelo_832_Large - segment,Modelo_832_Large - conf,Modelo_832_Large - time [ms],Modelo_832_Medium - prediction,Modelo_832_Medium - segment,Modelo_832_Medium - conf,Modelo_832_Medium - time [ms],Modelo_832_Nano - prediction,Modelo_832_Nano - segment,Modelo_832_Nano - conf,Modelo_832_Nano - time [ms],Modelo_832_Small - prediction,Modelo_832_Small - segment,Modelo_832_Small - conf,Modelo_832_Small - time [ms],IoU_matrix_Modelo_1056_ExtraLarge,IoU_matrix_Modelo_1056_Large,IoU_matrix_Modelo_1056_Medium,IoU_matrix_Modelo_1056_Nano,IoU_matrix_Modelo_1056_Small,IoU_matrix_Modelo_416_ExtraLarge,IoU_matrix_Modelo_416_Large,IoU_matrix_Modelo_416_Medium,IoU_matrix_Modelo_416_Nano,IoU_matrix_Modelo_416_Small,IoU_matrix_Modelo_640_ExtraLarge,IoU_matrix_Modelo_640_Large,IoU_matrix_Modelo_640_Medium,IoU_matrix_Modelo_640_Nano,IoU_matrix_Modelo_640_Small,IoU_matrix_Modelo_832_ExtraLarge,IoU_matrix_Modelo_832_Large,IoU_matrix_Modelo_832_Medium,IoU_matrix_Modelo_832_Nano,IoU_matrix_Modelo_832_Small
"..\Correos\2024\December\04\TRACK ALERT ID 63 at , Serial_ T010987 Prueba Amacayacu 2024\images_0\2024-December-04_63-Camara_Amacayacu-0.jpg",1,['1 0.802344 0.532407 0.284896 0.937037'],0,,1,9961.566799989669,0,,1,4565.283699979773,0,,1,3835.9943999676034,0,,1,648.7845999945421,1,"['1 0.813838 0.619073 0.296462 0.761854', '1 0.777783 0.365367 0.273641 0.730734', '1 0.795246 0.528357 0.315233 0.831380', '1 0.826608 0.690032 0.239228 0.619936']","[0.30037906765937805, 0.2994145452976227, 0.2850339710712433, 0.25304940342903137]",1640.101199969649,1,['1 0.785769 0.520569 0.315774 0.810753'],[0.2690567076206207],1729.4637000013608,1,"['1 0.815023 0.522201 0.263590 0.908162', '1 0.786287 0.457334 0.220408 0.873532', '1 0.829276 0.574154 0.341448 0.851693']","[0.28080981969833374, 0.28074005246162415, 0.2797349989414215]",771.2467000237666,1,"['1 0.827637 0.561407 0.333102 0.877186', '1 0.795226 0.420447 0.294179 0.840893']","[0.314098596572876, 0.26534345746040344]",646.0734999855049,1,"['1 0.803424 0.670529 0.224537 0.621631', '1 0.814960 0.488068 0.277189 0.877155', '1 0.814657 0.591169 0.246012 0.817661']","[0.5993421673774719, 0.5416831970214844, 0.28831246495246887]",94.50659999856724,1,"['1 0.804276 0.541338 0.265640 0.873768', '1 0.795541 0.432174 0.240064 0.752426', '1 0.828927 0.606854 0.273935 0.786293', '1 0.780517 0.408374 0.212654 0.577667']","[0.8585103750228882, 0.7137052416801453, 0.6099846959114075, 0.37641456723213196]",230.08400000981052,0,,1,3644.2265000077896,1,"['1 0.815607 0.654498 0.245557 0.678350', '1 0.810219 0.526298 0.253695 0.671253']","[0.36942991614341736, 0.2541162073612213]",1733.564300026046,1,['1 0.815695 0.627079 0.282622 0.745842'],[0.34900206327438354],1336.7239000217523,1,"['1 0.795359 0.518196 0.274943 0.794903', '1 0.809506 0.623887 0.264901 0.752226', '1 0.747178 0.598126 0.173653 0.755065', '1 0.831909 0.701720 0.279559 0.596561']","[0.4200654923915863, 0.34243565797805786, 0.3331855237483978, 0.28327107429504395]",275.32619997509755,1,"['1 0.790033 0.392660 0.260502 0.716667', '1 0.804898 0.517780 0.286862 0.831357']","[0.5663266181945801, 0.4711327850818634]",601.9787000259385,0,,1,6136.207599978661,0,,1,2806.2299999874085,0,,1,2173.0693000135943,0,,1,348.57680002460256,1,['1 0.802897 0.549141 0.285997 0.811335'],[0.4626573920249939],854.6216999820899,[],[],[],[],"[[0.7593, 0.5718, 0.8107, 0.5504]]",[[0.7854]],"[[0.8837, 0.6618, 0.77]]","[[0.802, 0.7441]]","[[0.5229, 0.8315, 0.7535]]","[[0.8695, 0.6648, 0.7011, 0.4602]]",[],"[[0.624, 0.6379]]",[[0.7306]],"[[0.8079, 0.7464, 0.4912, 0.5326]]","[[0.6512, 0.8727]]",[],[],[],[],[[0.8629]]
"..\Correos\2024\December\04\TRACK ALERT ID 63 at , Serial_ T010987 Prueba Amacayacu 2024\images_0\2024-December-04_63-Camara_Amacayacu-2.jpg",0,,0,,1,9962.957900046604,0,,1,4529.115499986801,0,,1,3889.707599999383,0,,1,657.5117000320461,0,,1,1581.040200049756,0,,1,1775.2938000194265,0,,1,752.4135999847203,0,,1,591.6475999983959,0,,1,124.76270002662204,0,,1,221.9222999701742,0,,1,3778.2556999882217,0,,1,1727.88390002097,0,,1,1401.9835999934005,0,,1,261.03200000943616,0,,1,601.9679000019096,0,,1,5963.847800012445,0,,1,2808.167500013951,0,,1,2217.2695000481326,0,,1,339.9522999825422,0,,1,857.9983999952674,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"..\Correos\2024\December\04\TRACK ALERT ID 63 at , Serial_ T010987 Prueba Amacayacu 2024\images_0\2024-December-04_63-Camara_Amacayacu-1.jpg",0,,0,,1,9911.617599951567,0,,1,4728.736799996113,0,,1,3646.508899983018,0,,1,702.8270999726374,0,,1,1599.5844000135548,0,,1,1794.5357999997211,0,,1,761.0762999684084,0,,1,663.0030999949668,0,,1,95.1546999567654,0,,1,222.0262999762781,0,,1,3794.703899999149,0,,1,1835.9126999857835,0,,1,1381.104099971708,0,,1,266.3794000109192,0,,1,575.2218999841716,0,,1,6397.210300026927,0,,1,2762.6951999845915,0,,1,2261.067299987189,0,,1,353.30659997998737,0,,1,887.6776000251994,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"..\Correos\2024\December\04\TRACK ALERT ID 63 at , Serial_ T010987 Prueba Amacayacu 2024\images_0\2024-December-04_63-Camara_Amacayacu-3.jpg",0,,0,,1,9097.728599968832,0,,1,4604.1411999904085,0,,1,3734.7693000047,0,,1,579.875199997332,0,,1,1510.5319999856874,0,,1,1717.669300007401,0,,1,769.7318999853451,0,,1,526.740899978904,0,,1,122.81219998840244,0,,1,245.61039998661727,0,,1,3589.7461000131443,0,,1,1781.089400028577,0,,1,1449.0149000193924,0,,1,259.9906000250485,0,,1,768.6458999814931,0,,1,6257.538499980001,0,,1,2786.5261000115424,0,,1,2090.977300016675,0,,1,359.71689998405054,0,,1,961.0256000014488,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"..\Correos\2024\December\04\TRACK ALERT ID 63 at , Serial_ T010987 Prueba Amacayacu 2024\images_0\2024-December-04_63-Camara_Amacayacu-4.jpg",0,,0,,1,10138.859500002582,0,,1,4492.448300006799,0,,1,3845.28749997844,0,,1,600.277699995786,0,,1,1397.0345000270754,0,,1,1731.2392000167165,0,,1,837.5333000149112,0,,1,660.6563999957871,0,,1,94.47059998637997,0,,1,310.091299994383,0,,1,3767.114399990533,0,,1,1982.5960000162013,0,,1,1463.2122999755666,0,,1,207.0361000078265,0,,1,527.0615999761503,0,,1,5960.66690000589,0,,1,2737.758700037375,0,,1,2217.619000002742,0,,1,331.9043000228703,0,,1,878.2154000073206,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"..\Correos\2024\December\04\TRACK ALERT ID 63 at , Serial_ T010987 Prueba Amacayacu 2024\images_0\2024-December-04_63-Camara_Amacayacu-5.jpg",0,,0,,1,10029.29160001804,0,,1,4606.53119997005,0,,1,3882.605299993884,0,,1,659.0521000034641,0,,1,1347.819199989317,0,,1,1708.8729000242893,0,,1,875.0927000073716,0,,1,653.1927999749314,0,,1,92.43099999730477,0,,1,250.2302000357304,0,,1,3713.7701000319794,0,,1,1952.285400038818,0,,1,1555.9893000172451,0,,1,198.93510002293624,0,,1,574.683200014988,0,,1,6028.720300004352,0,,1,2666.904500016244,0,,1,2133.015699975658,0,,1,346.26539997407235,0,,1,925.2643999643624,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"..\Correos\2024\December\04\TRACK ALERT ID 63 at , Serial_ T010987 Prueba Amacayacu 2024\images_0\2024-December-04_63-Camara_Amacayacu-7.jpg",0,,0,,1,9923.027200013166,0,,1,5026.145500014536,0,,1,3974.730100017041,0,,1,524.149100005161,0,,1,1602.0952000108082,0,,1,1792.9298000235576,0,,1,866.3452999899164,0,,1,780.4334000393283,0,,1,97.96029998688029,0,,1,264.3691999837756,0,,1,3898.2133000099566,0,,1,1784.9079000006896,0,,1,1533.5906000400428,0,,1,214.5174000179395,0,,1,571.5613999927882,0,,1,5778.081600001315,0,,1,2660.7895999914035,0,,1,2113.8456000189763,0,,1,381.2717000255361,0,,1,1067.070799996145,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"..\Correos\2024\December\04\TRACK ALERT ID 63 at , Serial_ T010987 Prueba Amacayacu 2024\images_0\2024-December-04_63-Camara_Amacayacu-6.jpg",0,,0,,1,10362.615099991672,0,,1,4907.008999958634,0,,1,4200.397199951112,0,,1,621.0765999858268,0,,1,1547.6836999878287,0,,1,1801.1988000071142,0,,1,944.380300003104,0,,1,777.1140999975614,0,,1,107.5513999676332,0,,1,241.77429999690503,0,,1,3795.490499993321,0,,1,1881.451699999161,0,,1,1558.045799989486,0,,1,200.51510000485,0,,1,639.8267999757081,0,,1,5746.700000017881,0,,1,3024.226900015492,0,,1,2419.311800011201,0,,1,405.0815000082366,0,,1,968.0670999514404,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"..\Correos\2024\December\04\TRACK ALERT ID 63,64 at , Serial_ T010987 Prueba Amacayacu 2024\images_0\2024-December-04_63-Camara_Amacayacu-0.jpg",1,['1 0.805469 0.564352 0.285938 0.876852'],0,,1,10246.036900003674,0,,1,4777.159599994775,0,,1,3359.080599999288,0,,1,428.3984999929089,1,"['1 0.813838 0.619073 0.296462 0.761854', '1 0.777783 0.365367 0.273641 0.730734', '1 0.795246 0.528357 0.315233 0.831380', '1 0.826608 0.690032 0.239228 0.619936']","[0.30037906765937805, 0.2994145452976227, 0.2850339710712433, 0.25304940342903137]",1015.0675000040792,1,['1 0.785769 0.520569 0.315774 0.810753'],[0.2690567076206207],1106.8609999783805,1,"['1 0.815023 0.522201 0.263590 0.908162', '1 0.786287 0.457334 0.220408 0.873532', '1 0.829276 0.574154 0.341448 0.851693']","[0.28080981969833374, 0.28074005246162415, 0.2797349989414215]",619.6057999914046,1,"['1 0.827637 0.561407 0.333102 0.877186', '1 0.795226 0.420447 0.294179 0.840893']","[0.314098596572876, 0.26534345746040344]",590.1376999972854,1,"['1 0.803424 0.670529 0.224537 0.621631', '1 0.814960 0.488068 0.277189 0.877155', '1 0.814657 0.591169 0.246012 0.817661']","[0.5993421673774719, 0.5416831970214844, 0.28831246495246887]",78.59129999997094,1,"['1 0.804276 0.541338 0.265640 0.873768', '1 0.795541 0.432174 0.240064 0.752426', '1 0.828927 0.606854 0.273935 0.786293', '1 0.780517 0.408374 0.212654 0.577667']","[0.8585103750228882, 0.7137052416801453, 0.6099846959114075, 0.37641456723213196]",244.61010002414696,0,,1,3694.1969000326935,1,"['1 0.815607 0.654498 0.245557 0.678350', '1 0.810219 0.526298 0.253695 0.671253']","[0.36942991614341736, 0.2541162073612213]",1676.3432000007017,1,['1 0.815695 0.627079 0.282622 0.745842'],[0.34900206327438354],1881.2165999843276,1,"['1 0.795359 0.518196 0.274943 0.794903', '1 0.809506 0.623887 0.264901 0.752226', '1 0.747178 0.598126 0.173653 0.755065', '1 0.831909 0.701720 0.279559 0.596561']","[0.4200654923915863, 0.34243565797805786, 0.3331855237483978, 0.28327107429504395]",246.7315999965649,1,"['1 0.790033 0.392660 0.260502 0.716667', '1 0.804898 0.517780 0.286862 0.831357']","[0.5663266181945801, 0.4711327850818634]",520.6738999986555,0,,1,5491.345400019782,0,,1,2063.7045000039507,0,,1,2003.4788000048136,0,,1,425.48840001109056,1,['1 0.802897 0.549141 0.285997 0.811335'],[0.4626573920249939],880.7486000296194,[],[],[],[],"[[0.8252, 0.5113, 0.8389, 0.5915]]",[[0.7982]],"[[0.8428, 0.618, 0.8172]]","[[0.853, 0.6713]]","[[0.5567, 0.7893, 0.8023]]","[[0.8829, 0.6124, 0.7626, 0.4819]]",[],"[[0.6644, 0.6792]]",[[0.795]],"[[0.8346, 0.7948, 0.5132, 0.5779]]","[[0.5832, 0.8933]]",[],[],[],[],[[0.9094]]
"..\Correos\2024\December\04\TRACK ALERT ID 63 at , Serial_ T010987 Prueba Amacayacu 2024\images_0\2024-December-04_63-Camara_Amacayacu-8.jpg",0,,0,,1,10404.208100022515,0,,1,4809.663599997293,0,,1,3397.914300003322,0,,1,401.063300028909,0,,1,1011.976500012679,0,,1,1105.3801999951247,0,,1,601.9149999774527,0,,1,599.2782000103034,0,,1,86.46069999667816,0,,1,303.8964000006672,0,,1,3634.578200028045,0,,1,1752.7358000224922,0,,1,1996.1793999827933,0,,1,240.4295000014827,0,,1,513.1242000206839,0,,1,5364.93170002359,0,,1,2145.43400000548,0,,1,2332.315700012259,0,,1,367.58620000910014,0,,1,919.3725000077392,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
