filename,x,y,cluster
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 100,101,99 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_99-Camara_Amacayacu-0_crop0.npy",12.8612,-31.322836,2
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 107 at , Serial_ T010987 Prueba Amacayacu 2024\features_1\2024-December-04_107-Camara_Amacayacu-0_crop0.npy",13.592845,-27.830853,2
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 107 at , Serial_ T010987 Prueba Amacayacu 2024\features_2\2024-December-04_107-Camara_Amacayacu-0_crop0.npy",-37.460827,-31.447165,9
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 108 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_107-Camara_Amacayacu-0_crop0.npy",-37.460907,-31.447176,9
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 107 at , Serial_ T010987 Prueba Amacayacu 2024\features_1\2024-December-04_107-Camara_Amacayacu-1_crop0.npy",63.8123,-32.130398,5
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 107 at , Serial_ T010987 Prueba Amacayacu 2024\features_1\2024-December-04_107-Camara_Amacayacu-1_crop1.npy",71.415634,33.345123,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 107 at , Serial_ T010987 Prueba Amacayacu 2024\features_1\2024-December-04_107-Camara_Amacayacu-2_crop0.npy",75.44902,30.354368,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 107 at , Serial_ T010987 Prueba Amacayacu 2024\features_1\2024-December-04_107-Camara_Amacayacu-3_crop0.npy",72.3276,37.916195,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 108 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_108-Camara_Amacayacu-1_crop0.npy",75.52498,40.24066,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 108 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_108-Camara_Amacayacu-2_crop0.npy",76.37985,42.001385,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 108 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_108-Camara_Amacayacu-3_crop0.npy",76.47734,34.04915,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 108 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_108-Camara_Amacayacu-4_crop0.npy",71.8632,40.35899,4
